# number of rays:      31
# iteration   EID   ray    X              A              Y              B              T              D
         1     4     12 -0.7210768E-06 -0.1227196E-05  0.0000000E+00  0.0000000E+00 -0.1110087E-04 -0.3333333E-04
         1     4     13 -0.2032360E-03 -0.6018573E-04  0.0000000E+00  0.0000000E+00  0.6178867E-05  0.0000000E+00
         1     4     14 -0.6087492E-10 -0.1036046E-09 -0.2503492E-04  0.5628666E-04 -0.1297917E-08  0.0000000E+00
         1     4     15 -0.2403550E-06 -0.4090638E-06  0.0000000E+00  0.0000000E+00 -0.3700222E-05 -0.1111111E-04
         1     4     16  0.2032372E-03  0.6018549E-04  0.0000000E+00  0.0000000E+00 -0.6181876E-05  0.0000000E+00
         1     4     17 -0.6087492E-10 -0.1036046E-09  0.2503492E-04 -0.5628666E-04 -0.1297917E-08  0.0000000E+00
         1     4     18  0.2403511E-06  0.4090623E-06  0.0000000E+00  0.0000000E+00  0.3700152E-05  0.1111111E-04
         1     4     19  0.6097152E-03  0.1805557E-03  0.0000000E+00  0.0000000E+00 -0.1855466E-04  0.0000000E+00
         1     4     20 -0.5478743E-09 -0.9324413E-09  0.7510475E-04 -0.1688600E-03 -0.1168126E-07  0.0000000E+00
         1     4     21  0.7210416E-06  0.1227182E-05  0.0000000E+00  0.0000000E+00  0.1110025E-04  0.3333333E-04
         1     4     22  0.1016198E-02  0.3009250E-03  0.0000000E+00  0.0000000E+00 -0.3093948E-04  0.0000000E+00
         1     4     23 -0.1521873E-08 -0.2590115E-08  0.1251746E-03 -0.2814333E-03 -0.3244794E-07  0.0000000E+00
         1     4     24  0.1201716E-05  0.2045296E-05  0.0000000E+00  0.0000000E+00  0.1850007E-04  0.5555556E-04
         1     4     25  0.1422685E-02  0.4212933E-03  0.0000000E+00  0.0000000E+00 -0.4333634E-04  0.0000000E+00
         1     4     26 -0.2982872E-08 -0.5076625E-08  0.1752444E-03 -0.3940067E-03 -0.6359796E-07  0.0000000E+00
         1     4     27  0.1682376E-05  0.2863403E-05  0.0000000E+00  0.0000000E+00  0.2589961E-04  0.7777778E-04
         1     4     28  0.1829178E-02  0.5416607E-03  0.0000000E+00  0.0000000E+00 -0.5574525E-04  0.0000000E+00
         1     4     29 -0.4930869E-08 -0.8391972E-08  0.2253142E-03 -0.5065800E-03 -0.1051313E-06  0.0000000E+00
         1     4     30  0.2163019E-05  0.3681505E-05  0.0000000E+00  0.0000000E+00  0.3329887E-04  0.1000000E-03

         1     5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     5      1 -0.1878046E-02 -0.5416803E-03  0.0000000E+00  0.0000000E+00  0.5549399E-04  0.0000000E+00
         1     5      2 -0.5689443E-08 -0.8391972E-08 -0.1795230E-03  0.5065800E-03 -0.1116601E-06  0.0000000E+00
         1     5      3 -0.2496148E-05 -0.3681630E-05  0.0000000E+00  0.0000000E+00 -0.3503162E-04 -0.1000000E-03
