# number of spin vectors:      31
# iteration   EID vector   S_X            S_Y            S_Z
         1     1      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1      7 -0.1321062E-03  0.0000000E+00  0.1000000E+01
         1     1      8  0.0000000E+00  0.1296489E-03  0.1000000E+01
         1     1      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     10 -0.7926372E-04  0.0000000E+00  0.1000000E+01
         1     1     11  0.0000000E+00  0.7778934E-04  0.1000000E+01
         1     1     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     13 -0.2642124E-04  0.0000000E+00  0.1000000E+01
         1     1     14  0.0000000E+00  0.2592978E-04  0.1000000E+01
         1     1     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     16  0.2642124E-04  0.0000000E+00  0.1000000E+01
         1     1     17  0.0000000E+00 -0.2592978E-04  0.1000000E+01
         1     1     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     19  0.7926372E-04  0.0000000E+00  0.1000000E+01
         1     1     20  0.0000000E+00 -0.7778934E-04  0.1000000E+01
         1     1     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     22  0.1321062E-03  0.0000000E+00  0.1000000E+01
         1     1     23  0.0000000E+00 -0.1296489E-03  0.1000000E+01
         1     1     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     25  0.1849487E-03  0.0000000E+00  0.1000000E+01
         1     1     26  0.0000000E+00 -0.1815085E-03  0.1000000E+01
         1     1     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1     28  0.2377912E-03  0.0000000E+00  0.1000000E+01
         1     1     29  0.0000000E+00 -0.2333680E-03  0.1000000E+01
         1     1     30  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1     2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      1 -0.4890396E-03  0.0000000E+00  0.9999999E+00
         1     2      2  0.0000000E+00  0.4536525E-03  0.9999999E+00
         1     2      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2      4 -0.3803641E-03  0.0000000E+00  0.9999999E+00
         1     2      5  0.0000000E+00  0.3528408E-03  0.9999999E+00
         1     2      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2      7 -0.2716887E-03  0.0000000E+00  0.1000000E+01
         1     2      8  0.0000000E+00  0.2520292E-03  0.1000000E+01
         1     2      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     10 -0.1630132E-03  0.0000000E+00  0.1000000E+01
         1     2     11  0.0000000E+00  0.1512175E-03  0.1000000E+01
         1     2     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     13 -0.5433773E-04  0.0000000E+00  0.1000000E+01
         1     2     14  0.0000000E+00  0.5040583E-04  0.1000000E+01
         1     2     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     16  0.5433773E-04  0.0000000E+00  0.1000000E+01
         1     2     17  0.0000000E+00 -0.5040583E-04  0.1000000E+01
         1     2     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     19  0.1630132E-03  0.0000000E+00  0.1000000E+01
         1     2     20  0.0000000E+00 -0.1512175E-03  0.1000000E+01
         1     2     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     22  0.2716887E-03  0.0000000E+00  0.1000000E+01
         1     2     23  0.0000000E+00 -0.2520292E-03  0.1000000E+01
         1     2     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     25  0.3803641E-03  0.0000000E+00  0.9999999E+00
         1     2     26  0.0000000E+00 -0.3528408E-03  0.9999999E+00
         1     2     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2     28  0.4890396E-03  0.0000000E+00  0.9999999E+00
         1     2     29  0.0000000E+00 -0.4536525E-03  0.9999999E+00
         1     2     30  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1     3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      1 -0.4890396E-03  0.0000000E+00  0.9999999E+00
         1     3      2  0.0000000E+00  0.4536525E-03  0.9999999E+00
         1     3      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3      4 -0.3803641E-03  0.0000000E+00  0.9999999E+00
         1     3      5  0.0000000E+00  0.3528408E-03  0.9999999E+00
         1     3      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3      7 -0.2716887E-03  0.0000000E+00  0.1000000E+01
         1     3      8  0.0000000E+00  0.2520292E-03  0.1000000E+01
         1     3      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3     10 -0.1630132E-03  0.0000000E+00  0.1000000E+01
         1     3     11  0.0000000E+00  0.1512175E-03  0.1000000E+01
         1     3     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3     13 -0.5433773E-04  0.0000000E+00  0.1000000E+01
         1     3     14  0.0000000E+00  0.5040583E-04  0.1000000E+01
         1     3     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3     16  0.5433773E-04  0.0000000E+00  0.1000000E+01
         1     3     17  0.0000000E+00 -0.5040583E-04  0.1000000E+01
         1     3     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3     19  0.1630132E-03  0.0000000E+00  0.1000000E+01
         1     3     20  0.0000000E+00 -0.1512175E-03  0.1000000E+01
         1     3     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3     22  0.2716887E-03  0.0000000E+00  0.1000000E+01
         1     3     23  0.0000000E+00 -0.2520292E-03  0.1000000E+01
         1     3     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3     25  0.3803641E-03  0.0000000E+00  0.9999999E+00
         1     3     26  0.0000000E+00 -0.3528408E-03  0.9999999E+00
         1     3     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
